id,chapter,section,source_question,source_page,question,answer,book_answer_option,verification,verification_note
1,Average,Mains,1,81,The average cost of 5 books and 4 pens is ₹36. The average cost of 7 books and 8 pens is ₹48. Find the cost of 12 books and 12 pens together.,₹900,A,verified,"The printed options/key appear inconsistent with the stated averages; direct algebra gives ₹900. Kept as a verified source question, with the verified answer rather than the printed key."
2,Average,Mains,3,81,"The average of 30 observations is 45. If three new observations 42, 44 and 48 be added, then find the new average.",44.97 (approximately),E,verified,The book's option E is 'None of these'; direct calculation gives 1484/33 ≈ 44.97.
3,Average,Mains,4,81,The average age of a class of 45 girls is 16 yr. The average age of 15 of them was 12 yr and another 10 was 14 yr. Find the average age of the remaining girls.,20 years,A,verified,
4,Average,Mains,5,81,Sum of three consecutive even numbers is 68 more than the average of the numbers. Find the middle number.,34,B,verified,
5,Average,Mains,6,81,"The average of 100 numbers is 50. It is found that, while calculating the average, two numbers namely 71 and 65 were wrongly read as 17 and 56. The correct average is",50.63,A,verified,
6,Average,Mains,7,81,"The total marks obtained by a student in three subjects A, B and C together is 80 more than the marks obtained by B. What is the average marks obtained by A and C together?",40,C,verified,
7,Average,Mains,8,81,"The average marks obtained by 12 students was calculated 72 but later, it was found that the marks of one student was wrongly read as 86 instead of 68. Find the correct average.",70.5,B,verified,
8,Average,Mains,9,81,"The average weight of 5 persons is decreased by 3 kg, when one of the men whose weight is 60 kg is replaced by a new man. The weight of the new man is",45 kg,B,verified,
9,Average,Mains,10,81,"Average age of 6 persons is decreased by 1 yr, when one new person is included in the group. Find the age of new man, if average age of 6 persons was 42 yr.",35 years,E,verified,The book's option E is 'None of these'; direct calculation gives 35 years.
10,Average,Prelims,4,81,"Eight consecutive numbers are given. If the average of the two numbers that appear in the middle is 6, then the sum of the eight given numbers is",48,B,verified,
11,Percentage,Mains,1,96,"Last year, there were 610 boys in a school. The number of boys decreased by 20% this year. How many girls are there in the school, if the number of girls is 175% of the total number of boys in the school this year?",854,A,verified,
12,Percentage,Mains,2,96,"Aryan got 350 marks and Vidya scored 76% marks in the same test. If Vidya scored 296 marks more than Aryan, then what were the maximum marks of the test?",850,C,verified,
13,Percentage,Mains,3,96,"A student was awarded certain marks in an examination. However, after re-evaluation, his marks were reduced by 40% of the marks that were originally awarded to him, so that the new score became 96. How many marks did the student lose after re-evaluation?",64,E,verified,The book's option E is 'None of these'; 40% loss from an original 160 is 64.
14,Percentage,Mains,4,96,"Reena got 76 marks in Hindi, 48 marks in Science, 84 marks in Mathematics, 38 marks in Social Science and 72 marks in English. The maximum marks of each subject was 100. How much overall percentage of marks did she get?",63.6%,C,verified,
15,Percentage,Mains,5,96,"A student was asked to measure the length and breadth of a rectangle. By mistake, he measured the length 20% less and the breadth 10% more. If its original area is 200 sq cm, then find the area after this measurement.",176 sq cm,A,verified,
16,Percentage,Mains,6,96,"A saves 20% of his monthly salary. If his monthly expenditure is ₹6000, then his monthly savings is",₹1500,C,verified,"20% of salary is savings, so ₹6000 is 80%; salary is ₹7500 and savings ₹1500. The source option/key appears inconsistent."
17,Percentage,Mains,7,96,"The prices of two articles are as 3 : 4. If the price of the first article is increased by 10% and that of the second is increased by ₹4, the original ratio remains the same. The original price of the second article is",₹40,A,verified,
18,Percentage,Mains,8,96,"Sahil got 45 marks in Hindi, 47 marks in Science, 49 marks in Mathematics, 45 marks in Social Science and 32 marks in English. The maximum marks of each subject is 50. How much overall percentage of marks did he get?",87.2%,D,verified,
19,Percentage,Mains,9,96,"A box has 100 blue balls, 50 red balls and 50 black balls. 25% of blue balls and 50% of red balls are taken away. Then, percentage of black balls at present is",33⅓%,B,verified,
20,Percentage,Mains,10,96,A jogger desires to run a certain course in 1/4 less time than he usually takes. By what per cent must he increase his average running speed to accomplish the goal?,33⅓%,D,verified,
21,Ratio and Proportion,Mains,1,109,"The total weight of Sanjay and Suresh is 120 kg. If Sanjay weighs 30 kg more than Suresh, then what is the ratio of the weight of Suresh to that of Sanjay?",3:5 (0.6),A,verified,"The printed key marks option A, but the stated data give Suresh = 45 kg and Sanjay = 75 kg, hence 3:5. The listed options/key appear erroneous."
